"enh_typoH","LambertX","LambertY","LambertPrecision","sid","snum","X_Ori","Y_Ori"
0,149887,189579,"S","034893","0008",149706,189506
0,149571,189009,"S","034844","0012",149476,189035
0,148959,189438,"S","034881","0010",148976,189488
1,149887,189579,"S","034893","0032",149950,189570
2,149152,189237,"C","034849","0185",149265,189182
0,149142,188628,"S","034836","0039",149119,188606
0,148959,189438,"S","034881","0010",148976,189488
0,148959,189438,"S","034881","0010",148976,189488
0,149901,188812,"S","034908","0016",149940,188852
0,148959,189438,"S","034881","0010",148976,189488
0,148959,189438,"S","034881","0010",148976,189488
0,148959,189438,"S","034881","0010",148976,189488
0,148959,189438,"S","034881","0010",148976,189488
0,148959,189438,"S","034881","0010",148976,189488
2,147447,188932,"S","034961","0059",147556,188988
0,148728,189475,"S","034876","0005",148775,189453
0,149629,189172,"S","160373","0007",149632,189182
0,148959,189438,"S","034881","0010",148976,189488
0,148870,185648,"S","034937","0007",148924,185662
0,150070,186522,"S","034932","0029",149952,186278
1,149314,189369,"S","034845","0083",149526,189363
0,149760,186515,"S","034924","0046",149743,186413
0,148959,189438,"S","034881","0010",148976,189488
0,149152,189237,"C","034849","0140",149280,189145
1,150070,186522,"S","034932","0031",149965,186289
0,149389,188934,"S","034860","0003",149364,188914
2,149902,188945,"S","034894","0020",149882,188944
0,147701,189595,"S","034944","0008",147750,189611
0,148002,187829,"S","034867","0118",148076,187600
0,148959,189438,"S","034881","0010",148976,189488
1,149439,189039,"S","034861","0012",149428,189057
0,149152,189237,"C","034849","0176",149456,189103
1,150149,188785,"S","034898","0030",150045,188876
0,147608,189181,"S","034951","0003",147617,189279
1,149439,189039,"S","034861","0015",149455,189019
0,148959,189438,"S","034881","0010",148976,189488
0,148959,189438,"S","034881","0010",148976,189488
1,149476,186860,"S","034930","0075",149015,186293
2,149968,189117,"C","034849","0319",149870,189112
0,149571,189009,"S","034844","0012",149476,189035
1,149454,188089,"S","034846","0050",149464,188466
2,148565,189309,"S","034849","0032",148534,189280
0,150149,188785,"S","034898","0035",150138,188825
2,149152,189237,"C","034849","0168",149409,189109
1,149152,189237,"C","034849","0170",149419,189110
0,149571,189009,"S","034844","0012",149476,189035
0,148959,189438,"S","034881","0010",148976,189488
1,149458,189229,"S","034856","0008",149465,189243
0,148959,189438,"S","034881","0010",148976,189488
0,148538,188128,"S","034867","0101",148172,187669
0,148748,189558,"S","034871","0008",148777,189506
0,148907,188742,"S","034872","0091",148964,188788
0,149571,189009,"S","034844","0012",149476,189035
1,148595,189602,"S","034877","0012",148670,189631
0,148959,189438,"S","034881","0010",148976,189488
0,148959,189438,"S","034881","0010",148976,189488
1,149314,189369,"S","034845","0069",149463,189361
0,147447,188932,"S","034961","0042",147545,188948
0,148002,187829,"S","034867","0118",148076,187600
0,148959,189438,"S","034881","0010",148976,189488
0,148959,189438,"S","034881","0010",148976,189488
0,148959,189438,"S","034881","0010",148976,189488
0,148959,189438,"S","034881","0010",148976,189488
0,148959,189438,"S","034881","0010",148976,189488
2,149525,189223,"S","034858","0027",149505,189264
0,148959,189438,"S","034881","0010",148976,189488
0,149215,184611,"S","034920","0007",149158,184497
1,149559,188221,"S","034841","0017",149549,188232
0,149571,189009,"S","034844","0012",149476,189035
0,150004,189349,"S","034905","0011",149990,189322
0,147365,189112,"C","034946","0030",147365,189113
0,150070,186522,"S","034932","0035",149995,186303
0,148959,189438,"S","034881","0010",148976,189488
0,148959,189438,"S","034881","0010",148976,189488
0,148959,189438,"S","034881","0010",148976,189488
0,148959,189438,"S","034881","0010",148976,189488
1,149152,189237,"C","034849","0170",149419,189110
0,147803,190203,"S","034959","0129",147674,190569
0,148959,189438,"S","034881","0010",148976,189488
0,148959,189438,"S","034881","0010",148976,189488
0,148959,189438,"S","034881","0010",148976,189488
0,148959,189438,"S","034881","0010",148976,189488
2,149222,189032,"S","034857","0034",149172,189041
0,148959,189438,"S","034881","0010",148976,189488
1,149016,189083,"S","034872","0044",148983,189033
0,149924,187584,"S","034934","0013",149848,187478
0,148858,185380,"S","034928","0019",148997,185740
0,148959,189438,"S","034881","0010",148976,189488
0,148959,189438,"S","034881","0010",148976,189488
0,148719,185387,"S","034926","0014",148714,185455
0,148622,185810,"S","034931","0116",148631,185814
0,148959,189438,"S","034881","0010",148976,189488
0,148959,189438,"S","034881","0010",148976,189488
0,148959,189438,"S","034881","0010",148976,189488
0,148959,189438,"S","034881","0010",148976,189488
0,149571,189009,"S","034844","0012",149476,189035
0,148959,189438,"S","034881","0010",148976,189488
0,148959,189438,"S","034881","0010",148976,189488
0,149028,187428,"S","034938","0004",149201,187593
0,148959,189438,"S","034881","0010",148976,189488
2,150149,188785,"S","034898","0040",150087,188829
0,149389,188934,"S","034860","0003",149364,188914
0,148959,189438,"S","034881","0010",148976,189488
0,148622,185810,"S","034931","0116",148631,185814
2,149152,189237,"C","034849","0152",149341,189122
0,148959,189438,"S","034881","0010",148976,189488
0,148959,189438,"S","034881","0010",148976,189488
0,150370,190552,"S","034885","0010",150300,190589
0,149629,189172,"S","160373","0005",149632,189182
2,149152,189237,"C","034849","0149",149074,189247
0,149458,189229,"S","034856","0016",149426,189258
2,149152,189237,"C","034849","0143",149055,189254
0,149020,187577,"S","034939","0001",149017,187558
1,149997,188795,"S","034899","0044",150041,188805
0,148959,189438,"S","034881","0010",148976,189488
1,147866,189024,"S","034965","0018",147854,189035
0,149559,188221,"S","034841","0012",149574,188205
0,150097,187139,"S","034921","0036",150197,187062
1,150149,188785,"S","034898","0030",150045,188876
0,147877,189504,"S","034838","0203",147823,189481
1,148148,186687,"S","034931","0041",148984,185278
1,147877,189504,"S","034838","0156",148000,189527
2,148798,185910,"S","034930","0033",148829,185934
0,149016,189083,"S","034872","0037",149026,189083
1,149997,188795,"S","034899","0046",150046,188808
0,149571,189009,"S","034844","0013",149514,189015
0,150070,186522,"S","034932","0010",149983,186341
1,149362,189346,"S","034845","0020",149289,189341
0,148858,185380,"S","034928","0019",148997,185740
0,149476,186860,"S","034930","0155",149557,186915
0,149402,187891,"S","034863","0003",149360,187927
1,148595,189602,"S","034877","0004",148708,189653
0,147491,188983,"S","034963","0003",147510,189033
0,148959,189438,"S","034881","0010",148976,189488
1,149019,188587,"S","034859","0001",149008,188615
0,148748,189558,"S","034871","0005",148755,189501
2,149158,188757,"S","034842","0040",149137,188744
0,150439,188294,"S","034917","0041",150229,188072
0,149020,187577,"S","034939","0001",149017,187558
0,148959,189438,"S","034881","0010",148976,189488
0,148959,189438,"S","034881","0010",148976,189488
1,150439,188294,"S","034917","0020",150281,188178
0,148622,185810,"S","034931","0096",148709,185522
2,149314,189369,"S","034845","0085",149531,189365
1,149314,189369,"S","034845","0101",149585,189360
0,149152,189237,"C","034849","0154",149342,189106
