RecId	Type	Shape_area	LambertX	LambertY	BlockID	ParcelID	parcel_area	parcel_cover	centroid	has_front_garden	num_neighbours	num_facades	distance_to_bus_stop	distance_to_train_station	distance_to_kindergarten	distance_to_school
4276849	CL	212.643	149836.5695338475	189553.72064889316	138186.0	5710642.0	668.1	36.32	POINT (149836.5695338475 189553.7206488932)	True	1.0	3.0	709.455	1246.7619999999995	639.56	639.56
4276850	CL	30.0012	149843.57057411992	189535.9406323895	138186.0	5710642.0	668.1	36.32	POINT (149843.5705741199 189535.9406323895)	True	0.0	4.0	709.455	1246.7619999999995	639.56	639.56
4276851	CL	149.0323	149396.1955558044	187852.17764129702	138170.0	5710703.0	831.8775	17.92	POINT (149396.1955558044 187852.177641297)	True	0.0	4.0	341.305	489.221	489.221	489.221
4276852	CL	95.1838	149890.69257882886	189204.7029861006	138188.0	5708463.0	175.3422	54.28	POINT (149890.6925788289 189204.7029861006)	False	2.0	2.0	456.431	961.167	386.536	386.536
4276853	CL	144.0279	149968.70249860964	189117.39801290672	138187.0	5710531.0	193.8073	74.32	POINT (149968.7024986096 189117.3980129067)	True	2.0	2.0	275.526	900.1	205.631	205.631
4276855	CL	48.4865	149535.32045512597	189329.14120548416	138146.0	5708497.0	169.4955	45.72	POINT (149535.320455126 189329.1412054842)	False	2.0	2.0	587.3810000000002	617.2160000000002	1075.4759999999997	1075.4759999999997
4276856	CL	11.0165	149538.68800014173	189315.96638763012	138146.0	5708497.0	169.4955	45.72	POINT (149538.6880001417 189315.9663876301)	True	1.0	3.0	587.3810000000002	617.2160000000002	1075.4759999999997	1075.4759999999997
4276857	OO	17.9838	149535.93569285117	189324.00607109707	138146.0	5708497.0	169.4955	45.72	POINT (149535.9356928512 189324.0060710971)	True	2.0	2.0	587.3810000000002	617.2160000000002	1075.4759999999997	1075.4759999999997
4276858	CL	142.0868	148444.98164597154	189576.3410608455	138142.0	5709433.0	1166.7216	18.09	POINT (148444.9816459715 189576.3410608455)	True	0.0	4.0	76.452	76.452	76.452	76.452
4276859	CL	54.9662	148434.05203717924	189584.41111584945	138142.0	5709433.0	1166.7216	18.09	POINT (148434.0520371792 189584.4111158494)	True	0.0	4.0	76.452	76.452	76.452	76.452
4276860	ON	13.9885	148439.66222287324	189579.8553958646	138142.0	5709433.0	1166.7216	18.09	POINT (148439.6622228732 189579.8553958646)	True	0.0	4.0	76.452	76.452	76.452	76.452
4276861	CL	76.6123	148911.1394815785	188676.7169958227	138141.0	5708980.0	591.2752	17.44	POINT (148911.1394815785 188676.7169958227)	True	1.0	3.0	240.06300000000005	659.9069999999999	328.195	328.195
4276862	CL	26.5351	148901.58381595483	188663.5607442425	138141.0	5708980.0	591.2752	17.44	POINT (148901.5838159548 188663.5607442425)	True	0.0	4.0	240.06300000000005	659.9069999999999	328.195	328.195
4276863	CL	87.3753	148612.6374710332	189508.74979526052	138143.0	5710701.0	263.7147	33.13	POINT (148612.6374710332 189508.7497952605)	True	2.0	2.0	180.706	429.8189999999999	180.706	180.706
4276864	CL	49.7964	149225.93474946546	189501.31133404802	138144.0	5708263.0	232.1615	25.02	POINT (149225.9347494655 189501.311334048)	True	2.0	2.0	584.294	954.6600000000002	1348.34	1348.34
4276865	CL	8.2892	149238.94996931308	189499.80753008637	138144.0	5708263.0	232.1615	25.02	POINT (149238.9499693131 189499.8075300864)	True	1.0	3.0	428.43600000000015	798.8020000000001	1192.482	1192.482
4276866	CL	102.2043	148900.63299114406	189426.28624414356	138147.0	5710557.0	406.8155	28.63	POINT (148900.6329911441 189426.2862441436)	False	2.0	2.0	642.499	891.6120000000001	642.499	642.499
4276867	CL	14.2653	148951.32683076966	189446.37884428108	138147.0	5710557.0	406.8155	28.63	POINT (148951.3268307697 189446.3788442811)	False	1.0	3.0	459.57500000000005	871.0760000000001	646.423	646.423
4276868	CL	86.6042	149051.03844846186	189043.76512933962	138154.0	5708774.0	208.9803	45.72	POINT (149051.0384484619 189043.7651293396)	False	2.0	2.0	191.51799999999997	561.317	726.1940000000001	726.1940000000001
4276869	CL	8.9328	149043.62688015404	189024.1357260948	138154.0	5708774.0	208.9803	45.72	POINT (149043.626880154 189024.1357260948)	True	1.0	3.0	191.51799999999997	561.317	726.1940000000001	726.1940000000001
4276870	CL	49.4409	149871.83240690554	189301.63598999844	138181.0	5710802.0	187.7629	26.33	POINT (149871.8324069055 189301.6359899984)	True	2.0	2.0	574.6760000000002	938.9829999999998	504.78100000000006	504.78100000000006
4276871	CL	86.9453	149319.93553538577	189303.5705677925	138148.0	5710168.0	236.1986	36.81	POINT (149319.9355353858 189303.5705677925)	False	2.0	2.0	342.42500000000007	564.5800000000002	1098.716	1098.716
4276872	CL	592.425	149023.26280928115	188180.18564784693	138163.0	5710710.0	5285.8502	12.66	POINT (149023.2628092812 188180.1856478469)	True	0.0	4.0	400.612	763.667	205.039	205.039
4276873	CL	76.9542	148987.1519180102	188181.10825865323	138163.0	5710710.0	5285.8502	12.66	POINT (148987.1519180102 188181.1082586532)	True	0.0	4.0	400.612	763.667	205.039	205.039
4276874	CL	49.0568	149323.66943345673	189375.82093422025	138144.0	5709945.0	294.323	21.64	POINT (149323.6694334567 189375.8209342202)	True	2.0	2.0	343.22900000000004	713.5950000000001	1107.275	1107.275
4276875	CL	8.8509	149324.45750910006	189383.71140102463	138144.0	5709945.0	294.323	21.64	POINT (149324.4575091001 189383.7114010246)	True	1.0	3.0	343.22900000000004	713.5950000000001	1107.275	1107.275
4276876	ON	5.7791	149323.62132803907	189381.15405250742	138144.0	5709945.0	294.323	21.64	POINT (149323.6213280391 189381.1540525074)	True	1.0	3.0	343.22900000000004	713.5950000000001	1107.275	1107.275
4276877	CL	78.5044	149066.28176789123	188667.91740745323	138161.0	5709646.0	258.0324	30.42	POINT (149066.2817678912 188667.9174074532)	False	1.0	3.0	288.84799999999996	558.5350000000001	387.694	387.694
4276878	CL	88.5175	148592.73982214896	189580.71019593484	138143.0	5708844.0	395.9394	22.36	POINT (148592.739822149 189580.7101959348)	True	1.0	3.0	129.063	378.17599999999993	129.063	129.063
4276879	CL	50.2951	149872.1883810854	189289.4736527696	138181.0	5710293.0	189.8462	26.49	POINT (149872.1883810854 189289.4736527696)	True	2.0	2.0	574.6760000000002	938.9829999999998	504.78100000000006	504.78100000000006
4276880	CL	113.1687	149407.01724159947	187916.70685058233	138168.0	5709650.0	453.7601	32.87	POINT (149407.0172415995 187916.7068505823)	True	1.0	3.0	291.051	438.967	438.967	438.967
4276881	CL	36.0045	149425.2161432426	187918.5121825332	138168.0	5709650.0	453.7601	32.87	POINT (149425.2161432426 187918.5121825332)	True	0.0	4.0	291.051	438.967	438.967	438.967
4276882	CL	125.131	149844.58970548725	189108.42217630002	138188.0	5709849.0	159.1027	78.65	POINT (149844.5897054872 189108.4221763)	False	1.0	3.0	307.548	631.6020000000001	237.653	237.653
4276883	CL	294.9429	149148.2438553364	188243.4650657295	138174.0	5708998.0	1963.206	21.31	POINT (149148.2438553364 188243.4650657295)	True	0.0	4.0	337.46000000000004	826.8190000000001	141.887	141.887
4276884	CL	94.8579	149133.30476545065	188225.9973739059	138174.0	5708998.0	1963.206	21.31	POINT (149133.3047654507 188225.9973739059)	True	0.0	4.0	337.46000000000004	826.8190000000001	141.887	141.887
4276885	CL	20.1889	149137.33390224486	188206.25026504594	138174.0	5708998.0	1963.206	21.31	POINT (149137.3339022449 188206.2502650459)	True	0.0	4.0	400.612	763.667	205.039	205.039
4276886	ON	8.2864	149146.9398339196	188237.03764064275	138174.0	5708998.0	1963.206	21.31	POINT (149146.9398339196 188237.0376406428)	True	0.0	4.0	337.46000000000004	826.8190000000001	141.887	141.887
4276887	CL	147.2262	149616.47703566437	188229.44946167356	138176.0	5710075.0	1444.7708	13.28	POINT (149616.4770356644 188229.4494616736)	True	0.0	4.0	78.534	663.7529999999998	663.7529999999998	663.7529999999998
4276888	CL	44.6418	149612.3150136331	188243.09326314964	138176.0	5710075.0	1444.7708	13.28	POINT (149612.3150136331 188243.0932631496)	False	1.0	3.0	78.534	663.7529999999998	663.7529999999998	663.7529999999998
4276889	CL	110.0258	150167.2750826857	188712.8455402496	138189.0	5708351.0	318.2834	34.57	POINT (150167.2750826857 188712.8455402496)	True	1.0	3.0	312.06899999999996	932.994	619.2180000000001	619.2180000000001
4276890	CL	63.8414	149708.4184216407	189574.7524374311	138180.0	5708739.0	461.1625	16.7	POINT (149708.4184216407 189574.7524374311)	True	1.0	3.0	936.3760000000001	1260.4299999999994	866.481	866.481
4276891	CL	13.1911	149705.88615201414	189582.7232349067	138180.0	5708739.0	461.1625	16.7	POINT (149705.8861520141 189582.7232349067)	True	1.0	3.0	936.3760000000001	1260.4299999999994	866.481	866.481
4276892	CL	52.6086	150272.2042807645	188579.88775663904	138191.0	5709373.0	52.6086	100.0	POINT (150272.2042807645 188579.887756639)	False	1.0	3.0	742.8349999999998	1212.0330000000001	986.4849999999999	986.4849999999999
4276893	CL	147.2814	150416.95556564585	189138.45567434974	138199.0	5708352.0	1504.7643	9.79	POINT (150416.9555656459 189138.4556743497)	True	0.0	4.0	175.16899999999998	1091.3269999999995	328.632	328.632
4276894	CL	183.9751	149813.97762293974	188121.9558136064	138176.0	5709895.0	1073.5875	17.14	POINT (149813.9776229397 188121.9558136064)	True	0.0	4.0	376.77500000000003	869.314	869.314	869.314
